# 2011 Event Horizon Telescope observations of M87 at 1.3mm
# ----------------------------------------------------------------------
# "Monitoring the Morphology of M87* in 2009-2017 with the EHT"
# Wielgus et al., ApJ (2020)
# ----------------------------------------------------------------------
# SRC: M87
# DATE: 2011/03/29
# MJD: 55649
# RA: 12 h 30 m 49.4234 s
# DEC: 12 deg 23 m 28.0437 s
# RF: 229.3 GHz 
# ----------------------------------------------------------------------
# COLUMNS:
# time:    (hours), first observation in UT time on DATE
# t1, t2:  telescope codes (see ARRAY CODES)
# u:       u projection of the baseline length (lambda)
# v:       v projection of the baseline length (lambda)
# amp:     flux density at 1.3mm (debiased, Jy)
# sigma:   flux density rms uncertainty (Jy)
# ----------------------------------------------------------------------
# ARRAY CODES:
# code  name            
# AZ    SMT
# C1    CARMA1
# C2    CARMA2
# C3    CARMA3
# JC    JCMT
# SM    SMA
# CS    CSO
# ----------------------------------------------------------------------
|     time | t1 | t2 |             u |             v |    amp |  sigma |
|    103.5 | CS | SM |      -94590.0 |      169356.0 |   1.66 | 0.0382 |
| 104.2167 | C1 | C2 |      -20354.0 |      -59975.0 |   1.66 | 0.1502 |
| 104.2167 | CS | SM |     -119024.0 |      165032.0 |   1.66 | 0.0359 |
| 105.4833 | C1 | C2 |       -4116.0 |      -60856.0 |   1.66 | 0.2481 |
| 105.4833 | C2 | C3 |      -34281.0 |       88484.0 |   1.66 | 0.1715 |
| 105.4833 | CS | SM |     -151483.0 |      155291.0 |   1.66 | 0.0343 |
| 105.6667 | C1 | C2 |       -1684.0 |      -60886.0 |   1.66 | 0.2562 |
| 105.6667 | C2 | C3 |      -36589.0 |       88118.0 |   1.66 | 0.1473 |
| 105.6667 | CS | SM |     -154868.0 |      153709.0 |   1.66 | 0.0279 |
| 149.1667 | C1 | C2 |      -46793.0 |      -54168.0 |   1.66 | 0.1995 |
| 149.1667 | C2 | C3 |       27883.0 |       89324.0 |   1.66 | 0.1305 |
|    149.6 | AZ | C1 |  -423269024.0 |   406956672.0 |  0.757 | 0.0348 |
|    149.6 | AZ | C2 |  -423313344.0 |   406901408.0 |  0.757 | 0.0545 |
|    149.6 | AZ | C3 |  -423291616.0 |   406991328.0 |  0.757 | 0.0984 |
|    149.6 | C1 | C2 |      -44304.0 |      -55281.0 |   1.66 | 0.0506 |
|    149.6 | C2 | C3 |       21718.0 |       89930.0 |   1.66 |  0.111 |
| 150.0333 | AZ | C1 |  -471521088.0 |   396023776.0 |  0.741 | 0.0281 |
| 150.0333 | AZ | C2 |  -471562336.0 |   395967456.0 |  0.741 | 0.0482 |
| 150.0333 | AZ | C3 |  -471547040.0 |   396057856.0 |  0.741 | 0.0859 |
| 150.0333 | C1 | C2 |      -41242.0 |      -56326.0 |   1.66 | 0.0416 |
| 150.0333 | C1 | CS | -2470221056.0 |  -983607040.0 |  0.514 | 0.0454 |
| 150.0333 | C1 | SM | -2470261760.0 |  -983432512.0 |  0.514 | 0.0588 |
| 150.0333 | C2 | C3 |       15273.0 |       90382.0 |   1.66 | 0.0916 |
| 150.0333 | CS | SM |      -40898.0 |      174506.0 |   1.66 | 0.0509 |
| 150.4667 | AZ | C1 |  -513677920.0 |   383986240.0 |  0.692 | 0.0332 |
| 150.4667 | AZ | C2 |  -513715552.0 |   383928960.0 |  0.692 | 0.0489 |
| 150.4667 | AZ | C3 |  -513706912.0 |   384019616.0 |  0.692 | 0.0735 |
| 150.4667 | C1 | C2 |      -37646.0 |      -57290.0 |   1.66 | 0.0497 |
| 150.4667 | C2 | C3 |        8630.0 |       90674.0 |   1.66 | 0.0935 |
| 150.4667 | C2 | SM | -2603088896.0 | -1045363840.0 |   0.32 | 0.0731 |
| 150.4667 | CS | SM |      -59200.0 |      173283.0 |   1.66 | 0.0506 |
|    150.9 | AZ | C1 |  -549194560.0 |   370999648.0 |  0.723 |  0.026 |
|    150.9 | AZ | C2 |  -549228160.0 |   370941504.0 |  0.723 | 0.0426 |
|    150.9 | AZ | C3 |  -549226240.0 |   371032320.0 |  0.723 | 0.0854 |
|    150.9 | C1 | C2 |      -33564.0 |      -58160.0 |   1.66 | 0.0368 |
|    150.9 | C1 | CS | -2702264832.0 | -1110417024.0 |   0.38 | 0.0397 |
|    150.9 | C1 | SM | -2702341632.0 | -1110245376.0 |   0.38 | 0.0447 |
