# 2013 Event Horizon Telescope observations of M87 at 1.3mm
# ----------------------------------------------------------------------
# "Monitoring the Morphology of M87* in 2009-2017 with the EHT"
# Wielgus et al., ApJ (2020)
# ----------------------------------------------------------------------
# SRC: M87
# DATE: 2013/03/21
# MJD: 56372
# RA: 12 h 30 m 49.4234 s
# DEC: 12 deg 23 m 28.0437 s
# RF: 229.3 GHz 
# ----------------------------------------------------------------------
# COLUMNS:
# time:    (hours), first observation in UT time on DATE
# t1, t2:  telescope codes (see ARRAY CODES)
# u:       u projection of the baseline length (lambda)
# v:       v projection of the baseline length (lambda)
# amp:     flux density at 1.3mm (debiased, Jy)
# sigma:   flux density rms uncertainty (Jy)
# ----------------------------------------------------------------------
# ARRAY CODES:
# code  name            
# AZ    SMT
# C1    CARMA1
# C2    CARMA2
# JC    JCMT
# SM    SMA
# AP    APEX
# ----------------------------------------------------------------------
|     time | t1 | t2 |             u |             v |    amp |  sigma |
|  55.1333 | AZ | C2 |  -505869568.0 |   386397728.0 | 0.5529 | 0.0353 |
|  55.1333 | C1 | C2 |      -37721.0 |      -55523.0 | 1.4901 | 0.0185 |
|  55.4667 | AP | AZ | -3069905664.0 |  4300062720.0 |  0.241 | 0.0435 |
|  55.4667 | AP | C1 | -3604707584.0 |  4676740096.0 | 0.2131 | 0.0134 |
|  55.4667 | AZ | C1 |  -534801952.0 |   376676896.0 | 0.5854 |   0.01 |
|  55.4667 | AZ | C2 |  -534836704.0 |   376620704.0 | 0.5791 | 0.0408 |
|  55.4667 | C1 | C2 |      -34757.0 |      -56204.0 | 1.4931 | 0.0184 |
|     55.8 | AP | C1 | -3571521792.0 |  4609321984.0 | 0.2046 | 0.0149 |
|     55.8 | AZ | C1 |  -559679616.0 |   366394688.0 | 0.5932 | 0.0096 |
|     55.8 | AZ | C2 |  -559711104.0 |   366337856.0 | 0.6035 | 0.0436 |
|     55.8 | C1 | C2 |      -31528.0 |      -56827.0 | 1.4856 |  0.017 |
|  56.1333 | AP | C1 | -3511005440.0 |  4542784512.0 | 0.2033 | 0.0128 |
|  56.1333 | AZ | C1 |  -580274432.0 |   355685248.0 | 0.5753 | 0.0094 |
|  56.1333 | AZ | C2 |  -580302464.0 |   355627872.0 | 0.5809 | 0.0349 |
|  56.1333 | C1 | C2 |      -28057.0 |      -57387.0 | 1.4907 |  0.017 |
|  56.4667 | AP | C1 | -3423621888.0 |  4477636096.0 | 0.1962 | 0.0159 |
|  56.4667 | AZ | C1 |  -596428736.0 |   344630560.0 | 0.5891 | 0.0088 |
|  56.4667 | AZ | C2 |  -596453120.0 |   344572704.0 | 0.5886 | 0.0378 |
|  56.4667 | C1 | C2 |      -24371.0 |      -57879.0 |  1.491 | 0.0156 |
|     56.8 | AP | C1 | -3310039808.0 |  4414375936.0 | 0.2182 | 0.0124 |
|     56.8 | AP | C2 | -3310060288.0 |  4414317568.0 | 0.1874 | 0.0543 |
|     56.8 | AZ | C1 |  -608019072.0 |   333315264.0 | 0.5847 | 0.0093 |
|     56.8 | AZ | C2 |  -608039552.0 |   333256960.0 | 0.5845 | 0.0355 |
|     56.8 | C1 | C2 |      -20499.0 |      -58301.0 | 1.4933 | 0.0157 |
|     56.8 | C1 | JC | -2794321920.0 | -1289363072.0 | 0.1076 | 0.0253 |
|  57.1333 | AP | C1 | -3171128320.0 |  4353487872.0 |  0.166 |  0.013 |
|  57.1333 | AZ | C1 |  -614956608.0 |   321825856.0 |  0.541 | 0.0089 |
|  57.1333 | AZ | C2 |  -614973120.0 |   321767200.0 | 0.5428 | 0.0448 |
|  57.1333 | C1 | C2 |      -16470.0 |      -58648.0 |  1.495 | 0.0183 |
|  57.4667 | AZ | C1 |  -617188352.0 |   310250336.0 | 0.6029 | 0.0101 |
|  57.4667 | AZ | C2 |  -617200640.0 |   310191424.0 | 0.6057 | 0.0437 |
|  57.4667 | C1 | C2 |      -12315.0 |      -58919.0 | 1.4959 |  0.018 |
| 121.3167 | AZ | C1 |  -593637184.0 |   274331200.0 | 0.6194 | 0.0106 |
| 121.3167 | AZ | C2 |  -593636032.0 |   274271968.0 | 0.6179 |  0.043 |
| 121.3167 | C1 | C2 |        1191.0 |      -59249.0 | 1.4943 | 0.0258 |
| 121.3167 | C1 | JC | -2466852864.0 | -1547611008.0 | 0.1343 |  0.016 |
| 121.3167 | C1 | SM | -2466932736.0 | -1547525760.0 | 0.1588 | 0.0116 |
| 121.3167 | C2 | SM | -2466934016.0 | -1547466496.0 | 0.2346 | 0.0506 |
| 121.8667 | AZ | C1 |  -563162176.0 |   256379776.0 | 0.6314 | 0.0122 |
| 121.8667 | AZ | C2 |  -563153856.0 |   256320688.0 | 0.6313 | 0.0437 |
| 121.8667 | AZ | SM | -2814862080.0 | -1364370560.0 | 0.1658 | 0.0257 |
| 121.8667 | C1 | C2 |        8318.0 |      -59101.0 | 1.4938 | 0.0283 |
| 121.8667 | C1 | JC | -2251615232.0 | -1620833152.0 |  0.162 | 0.0192 |
| 121.8667 | C1 | SM | -2251699968.0 | -1620750336.0 | 0.2102 | 0.0149 |
| 123.0833 | AZ | C1 |  -520967424.0 |   239556048.0 | 0.5897 | 0.0138 |
| 123.0833 | AZ | C2 |  -520952160.0 |   239497312.0 |  0.585 | 0.0482 |
| 123.0833 | AZ | SM | -2510575616.0 | -1447011712.0 | 0.1841 | 0.0144 |
| 123.0833 | C1 | C2 |       15272.0 |      -58735.0 | 1.4844 | 0.0343 |
| 123.0833 | C1 | JC | -1989520128.0 | -1686647936.0 |  0.163 | 0.0198 |
